,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,angle,angle_firsttime,angle_lasttime,merkly,merkly_firsttime,merkly_lasttime,stargate,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
51,140020,2.02405E+19,85,op,0.23906629,zksync,0.03580307,1620399,16.62652013,0x5e6f6cc5793aa4383fe138d1362d53a6ea32210f,131,6,2023/7/29 21:31,2023/8/7 13:06,115,2023/8/13 6:13,2024/4/28 20:47,10,2023/7/31 21:54,2023/8/15 13:53,1.00E-04
52,140019,2.02405E+19,84,op,0.23906629,zksync,0.03580307,1620328,16.62783968,0x3652320c03992e2e35106523c1474830cec17175,131,6,2023/7/29 21:21,2023/8/7 12:12,115,2023/8/13 6:02,2024/4/28 20:46,10,2023/7/31 21:37,2023/8/15 13:39,1.00E-04
53,140018,2.02405E+19,83,op,0.23906629,zksync,0.03580307,1620281,16.62866556,0xea547ac9c0b3e561d74bea6db4ebfd9722137127,131,6,2023/7/29 21:52,2023/8/7 13:12,115,2023/8/13 6:15,2024/4/28 20:48,10,2023/7/31 21:59,2023/8/15 13:58,1.00E-04
54,140017,2.02405E+19,82,op,0.23906629,zksync,0.03580307,1620258,16.62913905,0x8deff5a68a5e1b107cb9aa9612889d0b56a221d8,133,8,2023/7/29 21:33,2023/8/7 13:09,115,2023/8/13 6:14,2024/4/28 20:47,10,2023/7/31 21:56,2023/8/15 13:56,1.00E-04
55,140016,2.02405E+19,81,op,0.23906629,zksync,0.03580307,1619797,16.63722759,0x22d53c2620800b9759b647458a410d4481879d9c,131,6,2023/7/29 21:26,2023/8/7 13:00,115,2023/8/13 6:11,2024/4/28 20:47,10,2023/7/31 21:43,2023/8/15 13:47,1.00E-04
56,140015,2.02405E+19,80,op,0.23906629,zksync,0.03580307,1617614,16.67374508,0x55d054588fa72dc3d0e0aa5009df0543cfeed23b,130,6,2023/7/30 2:42,2023/8/7 15:44,114,2023/8/13 6:44,2024/4/28 20:52,10,2023/7/31 22:57,2023/8/15 15:23,1.00E-04
57,140014,2.02405E+19,79,op,0.23906629,zksync,0.03580307,1617592,16.67405996,0xbc73e370149718ca6d610f5c2f399aa5de67ab18,131,6,2023/7/30 3:26,2023/8/7 16:22,115,2023/8/13 6:59,2024/4/28 20:54,10,2023/8/1 6:27,2023/8/15 16:06,1.00E-04
58,140013,2.02405E+19,78,op,0.23906629,zksync,0.03580307,1616324,16.69700805,0x3bad5fca7182fe428863f1e44c4cc24aaf38c4c1,131,6,2023/7/30 2:26,2023/8/7 15:33,115,2023/8/13 6:38,2024/4/28 20:52,10,2023/7/31 22:44,2023/8/15 15:06,1.00E-04
59,140012,2.02405E+19,77,op,0.23906629,zksync,0.03580307,1615801,16.70667217,0x4f2b1e898d3b339c28811f342ad190d2badf2b78,132,6,2023/7/29 18:26,2023/8/7 12:06,116,2023/8/13 6:00,2024/4/28 20:46,10,2023/7/31 21:32,2023/8/15 13:33,1.00E-04
60,140011,2.02405E+19,76,op,0.23906629,zksync,0.03580307,1614975,16.7208872,0x63b0536810ca7fa5d2ccf1b20bfbb638f85a140c,131,6,2023/7/30 3:10,2023/8/7 16:08,115,2023/8/13 6:53,2024/4/28 20:54,10,2023/8/1 6:14,2023/8/15 15:52,1.00E-04
61,140010,2.02405E+19,75,op,0.23906629,zksync,0.03580307,1614973,16.72092415,0xcd7c324bef1feae8610f09e4251cf2b9bbcd4026,131,6,2023/7/30 3:11,2023/8/7 16:10,115,2023/8/13 6:53,2024/4/28 20:54,10,2023/8/1 6:15,2023/8/15 15:53,1.00E-04
62,140009,2.02405E+19,74,op,0.23906629,zksync,0.03580307,1614611,16.72813526,0x08367cadc2b815d97b8b68e37e6f38c5245d8e8c,130,6,2023/7/30 2:07,2023/8/7 15:06,114,2023/8/13 6:29,2024/4/28 20:49,10,2023/7/31 22:20,2023/8/15 14:20,1.00E-04
63,140008,2.02405E+19,73,op,0.23906629,zksync,0.03580307,1614573,16.72876799,0xe4ecf0dcf6d4e783f385b5e49a205abdbf7bcb63,130,6,2023/7/30 2:04,2023/8/7 15:02,114,2023/8/13 6:28,2024/4/28 20:48,10,2023/7/31 22:16,2023/8/15 14:16,1.00E-04
64,140007,2.02405E+19,72,op,0.23906629,zksync,0.03580307,1611436,16.78167113,0x2aa0383ff1540e2639ef489b59102aabd5fbc6b1,132,7,2023/7/30 1:59,2023/8/7 14:32,115,2023/8/13 6:25,2024/4/28 20:48,10,2023/7/31 22:09,2023/8/15 14:10,1.00E-04
65,140006,2.02405E+19,71,op,0.23906629,zksync,0.03580307,1611389,16.78244688,0xee11fe315013b4a04f150219991afb4f2eeff0e4,131,6,2023/7/30 2:03,2023/8/7 15:01,115,2023/8/13 6:27,2024/4/28 20:48,10,2023/7/31 22:15,2023/8/15 14:15,1.00E-04
66,140005,2.02405E+19,70,op,0.23906629,zksync,0.03580307,1611386,16.78245761,0x452dbbce7978ca17a98b38ffc966d48a95715ff4,131,6,2023/7/30 2:00,2023/8/7 14:33,115,2023/8/13 6:26,2024/4/28 20:48,10,2023/7/31 22:11,2023/8/15 14:11,1.00E-04
67,140004,2.02405E+19,69,op,0.23906629,zksync,0.03580307,1611379,16.78255158,0xd4b8e4452095ad72fb322a414998d12e2e1f8fd8,132,7,2023/7/30 2:09,2023/8/7 15:08,115,2023/8/13 6:30,2024/4/28 20:49,10,2023/7/31 22:23,2023/8/15 14:23,1.00E-04
68,140003,2.02405E+19,68,op,0.23906629,zksync,0.03580307,1611356,16.78293726,0xf4e417f9895aac21dea522c4a441adda136c2b89,131,6,2023/7/30 2:02,2023/8/7 14:38,115,2023/8/13 6:27,2024/4/28 20:48,10,2023/7/31 22:14,2023/8/15 14:14,1.00E-04
69,140002,2.02405E+19,67,op,0.23906629,zksync,0.03580307,1611353,16.78301386,0xb3c8bffac7b98dae3b0f4fcfd2043f5d93295f5c,131,6,2023/7/30 2:14,2023/8/7 15:16,115,2023/8/13 6:32,2024/4/28 20:49,10,2023/7/31 22:30,2023/8/15 14:33,1.00E-04
