address,tx_count,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,noprotocol_tx_count,noprotocol_firsttime,noprotocol_lasttime,l2marathon_tx_count,l2marathon_firsttime,l2marathon_lasttime,stargate_tx_count,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
0xfcd8defd6c74b5bed72269badcde6fef5207a135,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:20,2024/4/9 21:34,1,2023/7/25 21:17,2023/7/25 21:17,4,2023/10/4 21:39,2023/11/20 1:09,130.3204827
0xd4b55b6f302d840cbb1003bcac7af98c2726108e,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:34,2024/4/9 21:33,1,2023/7/24 21:40,2023/7/24 21:40,4,2023/10/4 21:42,2023/11/20 1:17,131.5596701
0xfcad2cfc834ef276f2187de2b649096ffbc26adf,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:28,2024/4/9 21:32,1,2023/7/25 21:17,2023/7/25 21:17,4,2023/10/4 21:40,2023/11/20 1:09,130.5210969
0xa348ff65406a7ccdc054492aa2b778433b2b09d9,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:28,2024/4/9 21:34,1,2023/7/25 22:59,2023/7/25 22:59,4,2023/10/4 21:56,2023/11/20 1:12,131.1547117
0xd33471ef6dc2af104da8e087071010afd2ec76e7,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:52,2024/4/9 21:33,1,2023/7/30 21:52,2023/7/30 21:52,4,2023/10/4 21:40,2023/11/20 1:10,132.8230143
0x905b6b537f03e71145f3cff47bcc9e448394f78b,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:27,2024/4/9 21:33,1,2023/7/30 21:54,2023/7/30 21:54,4,2023/10/4 21:55,2023/11/20 1:09,131.9604649
0x4ee2553275cb9267c4a6f13883fb8e1f68992f4e,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:52,2024/4/9 21:33,1,2023/7/24 23:33,2023/7/24 23:33,4,2023/10/4 21:39,2023/11/20 1:09,130.8169502
0x5464eb5d76a8180d4c088a854e51573494e82767,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:53,2024/4/9 21:33,1,2023/7/25 21:16,2023/7/25 21:16,4,2023/10/4 21:40,2023/11/20 1:09,130.9223342
0x433a8498c5b243d964287c89578ce09fe07ab2b7,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:53,2024/4/9 21:33,1,2023/7/25 22:58,2023/7/25 22:58,4,2023/10/4 21:38,2023/11/20 1:15,132.2178047
0x8a7ecbb4dd114444c71a3aaecc5848286bf07717,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:26,2024/4/9 21:34,1,2023/7/30 21:53,2023/7/30 21:53,4,2023/10/4 21:54,2023/11/20 1:14,132.323066
0xe602232dc745ab6f12ded067938baf34f4a2bcda,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:52,2024/4/9 21:34,1,2023/7/24 14:14,2023/7/24 14:14,4,2023/10/4 21:42,2023/11/20 1:07,131.0526731
